title,company,location,description,salary_min,salary_max,redirect_url
Senior Artificial Intelligence (AI) Consultant,Highmark Health,"Nashville, Davidson County","Company : Highmark Health Job Description : JOB SUMMARY This job is responsible for collaborating with leaders to understand their business objectives and challenges and providing expert guidance on the integration of artificial intelligence. This individual conducts assessments of systems, data, infrastructure, and business processes to identify opportunities for AI products and services. The incumbent collaborates across vendor partners, internal data scientists, data, and infrastructure to f…",101625.41,101625.41,https://www.adzuna.com/land/ad/5572821552?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=24A8A2E4083C1E45A1689000CA0724BB9E7769BF
Senior Artificial Intelligence (AI) Consultant,Highmark Health,"Jackson, Hinds County","Company : Highmark Health Job Description : JOB SUMMARY This job is responsible for collaborating with leaders to understand their business objectives and challenges and providing expert guidance on the integration of artificial intelligence. This individual conducts assessments of systems, data, infrastructure, and business processes to identify opportunities for AI products and services. The incumbent collaborates across vendor partners, internal data scientists, data, and infrastructure to f…",89935.49,89935.49,https://www.adzuna.com/land/ad/5572813228?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=2D0CA562C1B01DA423A734BE0F7FA50F097FE809
Senior Artificial Intelligence (AI) Consultant,Highmark Health,"Montpelier, Washington County","Company : Highmark Health Job Description : JOB SUMMARY This job is responsible for collaborating with leaders to understand their business objectives and challenges and providing expert guidance on the integration of artificial intelligence. This individual conducts assessments of systems, data, infrastructure, and business processes to identify opportunities for AI products and services. The incumbent collaborates across vendor partners, internal data scientists, data, and infrastructure to f…",96111.73,96111.73,https://www.adzuna.com/land/ad/5572915927?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=8D0C47F1F622DD4117FFE0443D28DE06F9148527
Senior Artificial Intelligence (AI) Consultant,Highmark Health,"Chisolm, Montgomery County","Company : Highmark Health Job Description : JOB SUMMARY This job is responsible for collaborating with leaders to understand their business objectives and challenges and providing expert guidance on the integration of artificial intelligence. This individual conducts assessments of systems, data, infrastructure, and business processes to identify opportunities for AI products and services. The incumbent collaborates across vendor partners, internal data scientists, data, and infrastructure to f…",87343.72,87343.72,https://www.adzuna.com/land/ad/5572814964?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=FD2D84686A03A4D221CA1C83742324BF8FA02D32
Senior Artificial Intelligence (AI) Consultant,Highmark Health,"Ny State Campus, Albany County","Company : Highmark Health Job Description : JOB SUMMARY This job is responsible for collaborating with leaders to understand their business objectives and challenges and providing expert guidance on the integration of artificial intelligence. This individual conducts assessments of systems, data, infrastructure, and business processes to identify opportunities for AI products and services. The incumbent collaborates across vendor partners, internal data scientists, data, and infrastructure to f…",110133.17,110133.17,https://www.adzuna.com/land/ad/5572903326?se=ahUlzlwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=A5DA8715F5CD218991683C20F437F98E9FD3A232
Senior Artificial Intelligence (AI) Consultant,Highmark Health,"Cammack Village, Pulaski County","Company : Highmark Health Job Description : JOB SUMMARY This job is responsible for collaborating with leaders to understand their business objectives and challenges and providing expert guidance on the integration of artificial intelligence. This individual conducts assessments of systems, data, infrastructure, and business processes to identify opportunities for AI products and services. The incumbent collaborates across vendor partners, internal data scientists, data, and infrastructure to f…",147415.94,147415.94,https://www.adzuna.com/land/ad/5572807891?se=ahUlzlwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=1E54F4735F7DA153AE3F51473282C616F1C3CB1D
Senior Artificial Intelligence (AI) Consultant,Highmark Health,"Boston, Suffolk County","Company : Highmark Health Job Description : JOB SUMMARY This job is responsible for collaborating with leaders to understand their business objectives and challenges and providing expert guidance on the integration of artificial intelligence. This individual conducts assessments of systems, data, infrastructure, and business processes to identify opportunities for AI products and services. The incumbent collaborates across vendor partners, internal data scientists, data, and infrastructure to f…",92529.76,92529.76,https://www.adzuna.com/land/ad/5572819785?se=ahUlzlwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=559CD8C13347D4352124BA1DCFDF1798214D90DD
Senior Artificial Intelligence (AI) Consultant,Highmark Health,"La Cienga, Santa Fe County","Company : Highmark Health Job Description : JOB SUMMARY This job is responsible for collaborating with leaders to understand their business objectives and challenges and providing expert guidance on the integration of artificial intelligence. This individual conducts assessments of systems, data, infrastructure, and business processes to identify opportunities for AI products and services. The incumbent collaborates across vendor partners, internal data scientists, data, and infrastructure to f…",134926.92,134926.92,https://www.adzuna.com/land/ad/5572599830?se=ahUlzlwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=37411C8DBA78E0D1767A026458E0A2AA42751A4B
Senior Artificial Intelligence (AI) Consultant,Highmark Health,"Edgewood, Richland County","Company : Highmark Health Job Description : JOB SUMMARY This job is responsible for collaborating with leaders to understand their business objectives and challenges and providing expert guidance on the integration of artificial intelligence. This individual conducts assessments of systems, data, infrastructure, and business processes to identify opportunities for AI products and services. The incumbent collaborates across vendor partners, internal data scientists, data, and infrastructure to f…",97631.59,97631.59,https://www.adzuna.com/land/ad/5572794496?se=ahUlzlwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=C486CAB69A0CFB4CA32B8589897C3771D09498B7
Senior Artificial Intelligence (AI) Consultant,Highmark Health,"Pierre, Hughes County","Company : Highmark Health Job Description : JOB SUMMARY This job is responsible for collaborating with leaders to understand their business objectives and challenges and providing expert guidance on the integration of artificial intelligence. This individual conducts assessments of systems, data, infrastructure, and business processes to identify opportunities for AI products and services. The incumbent collaborates across vendor partners, internal data scientists, data, and infrastructure to f…",147857.77,147857.77,https://www.adzuna.com/land/ad/5572909495?se=ahUlzlwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=B5D37212A8ABF04A77B02AA64A92CB34FFD73289
Senior Artificial Intelligence (AI) Consultant,Highmark Health,"Five Points, Wake County","Company : Highmark Health Job Description : JOB SUMMARY This job is responsible for collaborating with leaders to understand their business objectives and challenges and providing expert guidance on the integration of artificial intelligence. This individual conducts assessments of systems, data, infrastructure, and business processes to identify opportunities for AI products and services. The incumbent collaborates across vendor partners, internal data scientists, data, and infrastructure to f…",109710.08,109710.08,https://www.adzuna.com/land/ad/5572910376?se=ahUlzlwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=B9C570D0E5598DE826F7993060BBB811C569D244
Senior Artificial Intelligence (AI) Consultant,Highmark Health,"Bismarck, Burleigh County","Company : Highmark Health Job Description : JOB SUMMARY This job is responsible for collaborating with leaders to understand their business objectives and challenges and providing expert guidance on the integration of artificial intelligence. This individual conducts assessments of systems, data, infrastructure, and business processes to identify opportunities for AI products and services. The incumbent collaborates across vendor partners, internal data scientists, data, and infrastructure to f…",93994.59,93994.59,https://www.adzuna.com/land/ad/5572847159?se=ahUlzlwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=04D14899BBFF1FD397D4FF76C6DB1BFA12D55B75
Senior Artificial Intelligence (AI) Consultant,Highmark Health,"Charleston, Kanawha County","Company : Highmark Health Job Description : JOB SUMMARY This job is responsible for collaborating with leaders to understand their business objectives and challenges and providing expert guidance on the integration of artificial intelligence. This individual conducts assessments of systems, data, infrastructure, and business processes to identify opportunities for AI products and services. The incumbent collaborates across vendor partners, internal data scientists, data, and infrastructure to f…",101159.34,101159.34,https://www.adzuna.com/land/ad/5572920624?se=ahUlzlwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=FC036FE3D6FD649F8A85E67A3B179FA782FD7009
Senior Artificial Intelligence (AI) Consultant,Highmark Health,"Saint Paul, Ramsey County","Company : Highmark Health Job Description : JOB SUMMARY This job is responsible for collaborating with leaders to understand their business objectives and challenges and providing expert guidance on the integration of artificial intelligence. This individual conducts assessments of systems, data, infrastructure, and business processes to identify opportunities for AI products and services. The incumbent collaborates across vendor partners, internal data scientists, data, and infrastructure to f…",96176.64,96176.64,https://www.adzuna.com/land/ad/5572822679?se=ahUlzlwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=1BC36C2FAE4B30C1345FDE385295A03230D2D97B
Senior Artificial Intelligence (AI) Consultant,Highmark Health,"Frankfort, Franklin County","Company : Highmark Health Job Description : JOB SUMMARY This job is responsible for collaborating with leaders to understand their business objectives and challenges and providing expert guidance on the integration of artificial intelligence. This individual conducts assessments of systems, data, infrastructure, and business processes to identify opportunities for AI products and services. The incumbent collaborates across vendor partners, internal data scientists, data, and infrastructure to f…",106370.97,106370.97,https://www.adzuna.com/land/ad/5572810013?se=ahUlzlwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=99CA0DDC5526FDA326479799D891C763486A34D4
Senior Artificial Intelligence (AI) Consultant,Highmark Health,"Uptown, Marion County","Company : Highmark Health Job Description : JOB SUMMARY This job is responsible for collaborating with leaders to understand their business objectives and challenges and providing expert guidance on the integration of artificial intelligence. This individual conducts assessments of systems, data, infrastructure, and business processes to identify opportunities for AI products and services. The incumbent collaborates across vendor partners, internal data scientists, data, and infrastructure to f…",120398.99,120398.99,https://www.adzuna.com/land/ad/5572814204?se=ahUlzlwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=C473E6967940238572B8A5B1AF60E8B32F29DEB4
Senior Artificial Intelligence (AI) Consultant,Highmark Health,"Phoenix, Maricopa County","Company : Highmark Health Job Description : JOB SUMMARY This job is responsible for collaborating with leaders to understand their business objectives and challenges and providing expert guidance on the integration of artificial intelligence. This individual conducts assessments of systems, data, infrastructure, and business processes to identify opportunities for AI products and services. The incumbent collaborates across vendor partners, internal data scientists, data, and infrastructure to f…",93366.71,93366.71,https://www.adzuna.com/land/ad/5572817734?se=ahUlzlwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=41EC8648CF6EB4B9F37DFD3806EB44E62FD99D4B
Senior Artificial Intelligence (AI) Consultant,Highmark Health,"Talcott Village, Hartford County","Company : Highmark Health Job Description : JOB SUMMARY This job is responsible for collaborating with leaders to understand their business objectives and challenges and providing expert guidance on the integration of artificial intelligence. This individual conducts assessments of systems, data, infrastructure, and business processes to identify opportunities for AI products and services. The incumbent collaborates across vendor partners, internal data scientists, data, and infrastructure to f…",106059.69,106059.69,https://www.adzuna.com/land/ad/5572812168?se=ahUlzlwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=8AD23A56859316A2BC68F74929364024606367D6
Senior Artificial Intelligence (AI) Consultant,Highmark Health,"Baton Rouge, East Baton Rouge Parish","Company : Highmark Health Job Description : JOB SUMMARY This job is responsible for collaborating with leaders to understand their business objectives and challenges and providing expert guidance on the integration of artificial intelligence. This individual conducts assessments of systems, data, infrastructure, and business processes to identify opportunities for AI products and services. The incumbent collaborates across vendor partners, internal data scientists, data, and infrastructure to f…",95724.15,95724.15,https://www.adzuna.com/land/ad/5572810266?se=ahUlzlwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=C2B4DA65ECBA03E93D3DB0D6074FA2EB7AD9A90C
Senior Artificial Intelligence (AI) Consultant,Highmark Health,"Tumwater, Thurston County","Company : Highmark Health Job Description : JOB SUMMARY This job is responsible for collaborating with leaders to understand their business objectives and challenges and providing expert guidance on the integration of artificial intelligence. This individual conducts assessments of systems, data, infrastructure, and business processes to identify opportunities for AI products and services. The incumbent collaborates across vendor partners, internal data scientists, data, and infrastructure to f…",99645.92,99645.92,https://www.adzuna.com/land/ad/5573022041?se=ahUlzlwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=B00E5D433D05A59D5254A8CD670CA2923499BC07
Artificial Intelligence (AI) Identity Architect,EY,"Atlanta, Fulton County","At EY, we're all in to shape your future with confidence. We'll help you succeed in a globally connected powerhouse of diverse teams and take your career wherever you want it to go. Join EY and help to build a better working world. The opportunity The Artificial Intelligence (AI) Identity Architect will partner across technology and business teams to design and govern the integration of Agentic AI, automation and intelligence into EY's global Identity and Access Management (IAM) ecosystem. The …",217762.56,217762.56,https://www.adzuna.com/land/ad/5508394810?se=ahUlzlwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=0B53F8F1E60B48F34C35242E0A9D6F85CCCF3764
Artificial Intelligence (AI) Identity Architect,EY,"Alpharetta, Fulton County","At EY, we're all in to shape your future with confidence. We'll help you succeed in a globally connected powerhouse of diverse teams and take your career wherever you want it to go. Join EY and help to build a better working world. The opportunity The Artificial Intelligence (AI) Identity Architect will partner across technology and business teams to design and govern the integration of Agentic AI, automation and intelligence into EY's global Identity and Access Management (IAM) ecosystem. The …",180760.64,180760.64,https://www.adzuna.com/land/ad/5508394855?se=ahUlzlwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=CA9453C6E5B874196A32314741A38B075A4B92DF
Artificial Intelligence (AI) Identity Architect,EY,"Newburgh Heights, Cuyahoga County","At EY, we're all in to shape your future with confidence. We'll help you succeed in a globally connected powerhouse of diverse teams and take your career wherever you want it to go. Join EY and help to build a better working world. The opportunity The Artificial Intelligence (AI) Identity Architect will partner across technology and business teams to design and govern the integration of Agentic AI, automation and intelligence into EY's global Identity and Access Management (IAM) ecosystem. The …",202836.92,202836.92,https://www.adzuna.com/land/ad/5508398883?se=ahUlzlwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=6E47D35CCD697CE2B72F185D9360BA5743D113A4
Artificial Intelligence (AI) Identity Architect,EY,"Washington, D.C., US","At EY, we're all in to shape your future with confidence. We'll help you succeed in a globally connected powerhouse of diverse teams and take your career wherever you want it to go. Join EY and help to build a better working world. The opportunity The Artificial Intelligence (AI) Identity Architect will partner across technology and business teams to design and govern the integration of Agentic AI, automation and intelligence into EY's global Identity and Access Management (IAM) ecosystem. The …",157707.48,157707.48,https://www.adzuna.com/land/ad/5508350938?se=ahUlzlwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=135F6FC4AA96D0CA9A0138BDD9A2EAC3A806676A
Artificial Intelligence (AI) Identity Architect,EY,"Secaucus, Hudson County","At EY, we're all in to shape your future with confidence. We'll help you succeed in a globally connected powerhouse of diverse teams and take your career wherever you want it to go. Join EY and help to build a better working world. The opportunity The Artificial Intelligence (AI) Identity Architect will partner across technology and business teams to design and govern the integration of Agentic AI, automation and intelligence into EY's global Identity and Access Management (IAM) ecosystem. The …",190339.52,190339.52,https://www.adzuna.com/land/ad/5508374251?se=ahUlzlwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=6A58762C2576D58ACA8F5190B3226D2393EFCAC5
Artificial Intelligence (AI) Identity Architect,EY,"Hoboken, Hudson County","At EY, we're all in to shape your future with confidence. We'll help you succeed in a globally connected powerhouse of diverse teams and take your career wherever you want it to go. Join EY and help to build a better working world. The opportunity The Artificial Intelligence (AI) Identity Architect will partner across technology and business teams to design and govern the integration of Agentic AI, automation and intelligence into EY's global Identity and Access Management (IAM) ecosystem. The …",165221.66,165221.66,https://www.adzuna.com/land/ad/5508374191?se=ahUlzlwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=E49B88748BD810A0EEECE77645005B2AE64CF1C5
Artificial Intelligence (AI) Identity Architect,EY,"Jericho, Nassau County","At EY, we're all in to shape your future with confidence. We'll help you succeed in a globally connected powerhouse of diverse teams and take your career wherever you want it to go. Join EY and help to build a better working world. The opportunity The Artificial Intelligence (AI) Identity Architect will partner across technology and business teams to design and govern the integration of Agentic AI, automation and intelligence into EY's global Identity and Access Management (IAM) ecosystem. The …",156122.75,156122.75,https://www.adzuna.com/land/ad/5509745066?se=ahUlzlwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=52F64454BD6A00608F8726F1DAB91F5E7675E9F5
Artificial Intelligence (AI) Identity Architect,EY,"Rochester, Monroe County","At EY, we're all in to shape your future with confidence. We'll help you succeed in a globally connected powerhouse of diverse teams and take your career wherever you want it to go. Join EY and help to build a better working world. The opportunity The Artificial Intelligence (AI) Identity Architect will partner across technology and business teams to design and govern the integration of Agentic AI, automation and intelligence into EY's global Identity and Access Management (IAM) ecosystem. The …",161631.52,161631.52,https://www.adzuna.com/land/ad/5509745062?se=ahUlzlwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=33C11BE74D3314112140DB6CA868DA619EDA48DE
Artificial Intelligence (AI) Identity Architect,EY,"Pico Heights, Los Angeles County","At EY, we're all in to shape your future with confidence. We'll help you succeed in a globally connected powerhouse of diverse teams and take your career wherever you want it to go. Join EY and help to build a better working world. The opportunity The Artificial Intelligence (AI) Identity Architect will partner across technology and business teams to design and govern the integration of Agentic AI, automation and intelligence into EY's global Identity and Access Management (IAM) ecosystem. The …",186568.86,186568.86,https://www.adzuna.com/land/ad/5508261939?se=ahUlzlwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=CD59B78114CCB81E0D3E9AD442C9DD607CE96095
Artificial Intelligence (AI) Identity Architect,EY,"SoMa, San Francisco","At EY, we're all in to shape your future with confidence. We'll help you succeed in a globally connected powerhouse of diverse teams and take your career wherever you want it to go. Join EY and help to build a better working world. The opportunity The Artificial Intelligence (AI) Identity Architect will partner across technology and business teams to design and govern the integration of Agentic AI, automation and intelligence into EY's global Identity and Access Management (IAM) ecosystem. The …",190391.62,190391.62,https://www.adzuna.com/land/ad/5508261951?se=ahUlzlwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=D198001C8AC3AAFFFF45D574157A8F36DE6F2E17
Artificial Intelligence (AI) Identity Architect,EY,"Boston, Suffolk County","At EY, we're all in to shape your future with confidence. We'll help you succeed in a globally connected powerhouse of diverse teams and take your career wherever you want it to go. Join EY and help to build a better working world. The opportunity The Artificial Intelligence (AI) Identity Architect will partner across technology and business teams to design and govern the integration of Agentic AI, automation and intelligence into EY's global Identity and Access Management (IAM) ecosystem. The …",145957.44,145957.44,https://www.adzuna.com/land/ad/5508374898?se=ahUlzlwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=7958837368A9B186EA54C515CC73542353F3D1C9
Artificial Intelligence (AI) Identity Architect,EY,"Five Points, Wake County","At EY, we're all in to shape your future with confidence. We'll help you succeed in a globally connected powerhouse of diverse teams and take your career wherever you want it to go. Join EY and help to build a better working world. The opportunity The Artificial Intelligence (AI) Identity Architect will partner across technology and business teams to design and govern the integration of Agentic AI, automation and intelligence into EY's global Identity and Access Management (IAM) ecosystem. The …",173058.03,173058.03,https://www.adzuna.com/land/ad/5509857910?se=ahUlzlwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=77D82F94199A2C966D01A8D3DD41AF7528FF91AA
Artificial Intelligence (AI) Identity Architect,EY,"Minneapolis, Hennepin County","At EY, we're all in to shape your future with confidence. We'll help you succeed in a globally connected powerhouse of diverse teams and take your career wherever you want it to go. Join EY and help to build a better working world. The opportunity The Artificial Intelligence (AI) Identity Architect will partner across technology and business teams to design and govern the integration of Agentic AI, automation and intelligence into EY's global Identity and Access Management (IAM) ecosystem. The …",169187.22,169187.22,https://www.adzuna.com/land/ad/5508349660?se=ahUlzlwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=D8045D87B5F98E940C4B08AFBE6BC12DD5CCFE1E
Artificial Intelligence (AI) Identity Architect,EY,"International, King County","At EY, we're all in to shape your future with confidence. We'll help you succeed in a globally connected powerhouse of diverse teams and take your career wherever you want it to go. Join EY and help to build a better working world. The opportunity The Artificial Intelligence (AI) Identity Architect will partner across technology and business teams to design and govern the integration of Agentic AI, automation and intelligence into EY's global Identity and Access Management (IAM) ecosystem. The …",167854.58,167854.58,https://www.adzuna.com/land/ad/5508381151?se=ahUlzlwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=76A6D99C60CF824B962A7C25F8061677B20111DD
"Head of Artificial Intelligence and Insights, AD",SMBC,"Charlotte, Mecklenburg County","SMBC Group is a top-tier global financial group. Headquartered in Tokyo and with a 400-year history, SMBC Group offers a diverse range of financial services, including banking, leasing, securities, credit cards, and consumer finance. The Group has more than 130 offices and 80,000 employees worldwide in nearly 40 countries. Sumitomo Mitsui Financial Group, Inc. (SMFG) is the holding company of SMBC Group, which is one of the three largest banking groups in Japan. SMFG's shares trade on the Tokyo…",135020.89,135020.89,https://www.adzuna.com/land/ad/5583228907?se=ahUlzlwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=A7BF3BEBA448B7ED25D9AF1965B431F0D57CD4AC
Artificial Intelligence,MSP Test 5,"Hartford, Hartford County","Designing, developing, and implementing AI models and algorithms to address business challenges and improve processes. Collaborating with cross-functional teams of data scientists, software developers, and business stakeholders to understand requirements and translate them into AI solutions. AI Engineers are involved in the end-to-end development and deployment of machine learning models. They translate complex data into AI-driven solutions that can perform autonomously in real-time environment…",96854.18,96854.18,https://www.adzuna.com/details/5209145078?utm_medium=api&utm_source=31b863f3
Software Engineer–Artificial Intelligence (Artificial Intelligence),Boeing,"Berkeley, Saint Louis County","Software Engineer–Artificial Intelligence (Artificial Intelligence) Company: The Boeing Company The Boeing Company is seeking a Software Engineer – Artificial Intelligence to join the Air Proprietary 2 (AP2) team located in Berkeley, MO . This position will focus on supporting th e Boeing Defense, Space & Security (BDS) business organization. The Boeing Air Dominance AP2 organization is at the forefront of developing innovative solutions, and our Automated Testing Framework (ATF) plays a critic…",136000.0,184000.0,https://www.adzuna.com/land/ad/5608837605?se=ahUlzlwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=6F8C92F2F55CC4D996C29AD14C02ECD20C4DE5DB
Artificial Intelligence Machine Learning Engineer with Security Clearance,Shield Consulting Solutions,"Annapolis, Anne Arundel County","Active TS/SCI w/Polygraph REQUIRED Please do not apply if you do not currently possess this level of clearance.  Telework: None Basic Requirements: * Experience with standard machine language frameworks, e.g. Pytorch, TensorFlow. * A Master's or Ph.D. degree in advanced math, artificial intelligence, data science, computer science or deep learning * 5 years' experience in applied machine learning * 5 additional years of machine learning experience with a relevant Bachelor's degree may be substi…",149438.39,149438.39,https://www.adzuna.com/land/ad/5614463640?se=ahUlzlwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=1F81881032D640AD43CA4FD8DC796BEB92AB74E9
Research Fellow - Data Science and Artificial Intelligence,Mayo Clinic,"Scottsdale, Maricopa County","Mayo Clinic is top-ranked in more specialties than any other care provider according to U.S. News & World Report. As we work together to put the needs of the patient first, we are also dedicated to our employees, investing in competitive compensation and comprehensive benefit plans – to take care of you and your family, now and in the future. And with continuing education and advancement opportunities at every turn, you can build a long, successful career with Mayo Clinic. Benefits Highlights •…",84386.41,84386.41,https://www.adzuna.com/land/ad/5553085322?se=ahUlzlwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=DA6C7D9AF2D9AC67E2D644ED283B46D5638F8C3A
Faculty Position in Artificial Intelligence-Department of Surgery,Mayo Clinic,"Rochester, Olmsted County","Why Mayo Clinic Mayo Clinic is top-ranked in more specialties than any other care provider according to U.S. News & World Report. As we work together to put the needs of the patient first, we are also dedicated to our employees, investing in competitive compensation and comprehensive benefit plans (https://jobs.mayoclinic.org/benefits/) - to take care of you and your family, now and in the future. And with continuing education and advancement opportunities at every turn, you can build a long, s…",148354.52,148354.52,https://www.adzuna.com/land/ad/5365976868?se=ahUlzlwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=87467C03FDA7DCB9EEBEF82A3E9A4A3CEA80CA0B
Senior Researcher - Artificial Intelligence - Microsoft Research,Microsoft Corporation,"Redmond, King County","Overview The AI Interaction and Learning team in Microsoft Research advances research on collaborative AI systems, where humans and AI agents work together to achieve outcomes that exceed what either could accomplish alone. We work closely with product teams deploying copilots, ensuring that our research both addresses the challenges of large-scale, real-world AI systems. Our mission is to move beyond individual assistance toward joint optimization at the group level, creating collaborative AI …",169082.36,169082.36,https://www.adzuna.com/land/ad/5515434910?se=ahUlzlwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=FDEAD4D8D0C6F6E6A190E62C5C219CF670D2F40A
Senior NLP Research Engineer - Artificial Intelligence,Bloomberg,"Grand Central, Manhattan","Senior NLP Research Engineer - Artificial Intelligence Location New York Business Area Engineering and CTO Ref  10036233 Description & Requirements Bloomberg's Engineering AI department has 400 AI practitioners building highly sought after products and features that often require novel innovations. We are investing in AI to build better search, discovery, and workflow solutions using technologies such as transformers, gradient boosted decision trees, large language models, and dense vector data…",403825.12,403825.12,https://www.adzuna.com/land/ad/5052449773?se=ahUlzlwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=F2192D0474D13A18E0E13600F5A208D02FA6F01C
Artificial Intelligence and Data Functional Engagement Manager,The Boeing Company,"International, King County","Job Description At Boeing, we innovate and collaborate to make the world a better place. We're committed to fostering an environment for every teammate that's welcoming, respectful and inclusive, with great opportunity for professional growth. Find your future with us. The Boeing Company is currently seeking an Artificial Intelligence and Data Functional Engagement Manager to join the team in Seattle, WA; Chicago, IL; Everett, WA; North Charleston, SC; Ridley Park, PA; Plano, TX; Pleasanton, CA…",128812.77,128812.77,https://www.adzuna.com/land/ad/5627204770?se=ahUlzlwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=D52839B14759CB426AFEB11737FA36951961EACB
Senior Software Engineer - Reliability - Artificial Intelligence,Bloomberg,"Grand Central, Manhattan","Senior Software Engineer - Reliability - Artificial Intelligence Location New York Business Area Engineering and CTO Ref  10048621 Description & Requirements Bloomberg's Engineering AI department has 400 AI practitioners building highly sought after products and features that often require novel innovations. We are investing in AI to build better search, discovery, and workflow solutions using technologies such as transformers, gradient boosted decision trees, large language models, and dense v…",304940.94,304940.94,https://www.adzuna.com/land/ad/5590028182?se=ahUlzlwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=565FE2EBA520B16FE0246A76C3171E04058CC397
Principal Research Scientist - Artificial Intelligence Assurance,Oracle,"Burlington, Middlesex County","Job Description The Machine Learning Research Group is searching for an outstanding PhD researcher with experience in AI and Machine Learning Safety and Assurance to join our research team. We are passionate about research that both advances science and has impact in the real world. You will be part of an amazing collaborative research team that publishes at the top venues in machine learning and artificial intelligence. Our expertise includes recommender systems, content moderation, foundation…",193380.83,193380.83,https://www.adzuna.com/land/ad/5529976549?se=ahUlzlwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=40EF3CF35A270B68A66F3E79FECAA182864C999E
Artificial Intelligence & Machine Learning Systems Engineer,Honeywell,"Minneapolis, Hennepin County","We're seeking a highly skilled Artificial Intelligence & Machine Learning Systems Engineer to architect, design, and develop advanced AI/ML systems that power our next generation of products. In this leadership role, you'll contribute to the technical roadmap, mentor engineering teams, and collaborate with cross-functional teams to deliver intelligent, scalable, and production-ready AI and machine learning technologies. You will be responsible for researching, creating, adapting and evaluating …",231526.67,231526.67,https://www.adzuna.com/land/ad/5572823361?se=ahUlzlwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=0A9B7BF31AAE0F238EC6FFD789B0C95A81313D27
Artificial Intelligence & Machine Learning Systems Engineer,Honeywell,"Campbell, Santa Clara County","We're seeking a highly skilled Artificial Intelligence & Machine Learning Systems Engineer to architect, design, and develop advanced AI/ML systems that power our next generation of products. In this leadership role, you'll contribute to the technical roadmap, mentor engineering teams, and collaborate with cross-functional teams to deliver intelligent, scalable, and production-ready AI and machine learning technologies. You will be responsible for researching, creating, adapting and evaluating …",238884.55,238884.55,https://www.adzuna.com/land/ad/5588435512?se=ahUlzlwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=4994D2F76088A3DD0B995CD12E53D571BA447163
